[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:52:162 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:165 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:222 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:224 main.c/(5351:5351): Leyendo pagina 4, pid 0
[TRACE] 01:45:52:228 main.c/(5351:5351): Leyendo pagina 4, pid 0
[TRACE] 01:45:52:235 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:237 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:249 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:253 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:274 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:276 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:279 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:290 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:293 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:343 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:346 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:364 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:366 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:369 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:380 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:383 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:449 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:452 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:474 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:476 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:479 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:487 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:490 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:550 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:554 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:578 main.c/(5351:5351): Escribiendo pagina 6, pid 0
[TRACE] 01:45:52:580 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:583 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:591 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:594 main.c/(5351:5351): Leyendo pagina 6, pid 0
[TRACE] 01:45:52:642 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:646 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:661 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:663 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:671 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:674 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:741 main.c/(5351:5351): Escribiendo pagina 7, pid 0
[TRACE] 01:45:52:742 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:745 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:762 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:765 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:773 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:777 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:832 main.c/(5351:5351): Escribiendo pagina 7, pid 0
[TRACE] 01:45:52:834 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:837 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:52:848 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:851 main.c/(5351:5351): Leyendo pagina 7, pid 0
[TRACE] 01:45:52:863 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:866 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:52:918 main.c/(5351:5351): Escribiendo pagina 7, pid 0
[TRACE] 01:45:52:919 main.c/(5351:5351): Leyendo pagina 3, pid 0
